id;name;fullName;city;state;country;stadium;stadiumFullName;division;colors;foundationYear;idol;mascot
1;Athletico-PR;Club Athletico Paranaense;Curitiba;PR;Brasil;Arena da Baixada;Estádio Joaquim Américo Guimarães;Série A;['red', 'black'];1924;Sicupira;Furacão
2;Atlético-GO;Atlético Clube Goianiense;Goiânia;GO;Brasil;Estádio Antônio Accioly;Estádio Antônio Accioly;Série A;['red', 'black'];1937;Lino Freitas;Dragão
3;Atlético-MG;Clube Atlético Mineiro;Belo Horizonte;MG;Brasil;Arena MRV;Arena MRV;Série A;['black', 'white'];1908;Reinaldo;Galo
4;Bahia;Esporte Clube Bahia;Salvador;BA;Brasil;Arena Fonte Nova;Itaipava Arena Fonte Nova;Série A;['blue', 'red', 'white'];1931;Bobô;Super-Homem
5;Botafogo;Botafogo de Futebol e Regatas;Rio de Janeiro;RJ;Brasil;Estádio Nilton Santos (Engenhão);Estádio Nilton Santos;Série A;['black', 'white'];1904;Garrincha;Manequinho
6;Red Bull Bragantino;Red Bull Bragantino Futebol Clube;Bragança Paulista;SP;Brasil;Estádio Nabi Abi Chedid;Estádio Nabi Abi Chedid;Série A;['white', 'red', 'blue'];1928;Mauro Silva;Touro
7;Corinthians;Sport Club Corinthians Paulista;São Paulo;SP;Brasil;Neo Química Arena;Neo Química Arena;Série A;['white', 'black'];1910;Cássio;Mosqueteiro
8;Criciúma;Criciúma Esporte Clube;Criciúma;SC;Brasil;Estádio Heriberto Hülse;Estádio Heriberto Hülse;Série A;['black', 'yellow', 'white'];1947;Roberto Cavalo;Tigre
9;Cruzeiro;Cruzeiro Esporte Clube;Belo Horizonte;MG;Brasil;Mineirão;Estádio Governador Magalhães Pinto;Série A;['blue', 'white'];1921;Tostão;Raposa
10;Cuiabá;Cuiabá Esporte Clube;Cuiabá;MT;Brasil;Arena Pantanal;Arena Pantanal;Série A;['green', 'yellow'];2001;Walter;Peixe
11;Flamengo;Clube de Regatas do Flamengo;Rio de Janeiro;RJ;Brasil;Maracanã;Estádio Jornalista Mário Filho;Série A;['red', 'black'];1895;Zico;Urubu
12;Fluminense;Fluminense Football Club;Rio de Janeiro;RJ;Brasil;Maracanã;Estádio Jornalista Mário Filho;Série A;['green', 'maroon', 'white'];1902;Castilho;Guerreiro
13;Fortaleza;Fortaleza Esporte Clube;Fortaleza;CE;Brasil;Arena Castelão;Arena Castelão;Série A;['blue', 'red', 'white'];1918;Clodoaldo;Leão
14;Grêmio;Grêmio Foot-Ball Porto Alegrense;Porto Alegre;RS;Brasil;Arena do Grêmio;Arena do Grêmio;Série A;['blue', 'black', 'white'];1903;Renato Portaluppi;Mosqueteiro
15;Internacional;Sport Club Internacional;Porto Alegre;RS;Brasil;Estádio Beira-Rio;Estádio Beira-Rio;Série A;['red', 'white'];1909;Falcão;Saci
16;Juventude;Esporte Clube Juventude;Caxias do Sul;RS;Brasil;Estádio Alfredo Jaconi;Estádio Alfredo Jaconi;Série A;['green', 'white'];1913;Valdomiro;Papagaio
17;Palmeiras;Sociedade Esportiva Palmeiras;São Paulo;SP;Brasil;Allianz Parque;Allianz Parque;Série A;['green', 'white'];1914;Ademir da Guia;Porco
18;São Paulo;São Paulo Futebol Clube;São Paulo;SP;Brasil;Estádio do Morumbi;Estádio Cícero Pompeu de Toledo;Série A;['white', 'red', 'black'];1930;Rogério Ceni;Santo
